Date,Day,,MORNING,,,AFTERNOON,
,,,09:00 A.M To 12:00 NOON,,,01:00 P.M. To 04:00 P.M.,
02-12-2024,Monday,II English (Comp),,,"I Arabic
I Computer Science
I English Literature
I Persian
I Principles of Economics
I Punjabi",,
03-12-2024,Tuesday,"II Arabic
II Computer Science
II English Literature
II French
II Principles of Banking
II Punjabi
II Urdu Advance",,,I English (Comp),,
04-12-2024,Wednesday,"II Business Statistics
II Fine Arts
II Geography
II Islamic Studies (Elec.)",,,"I Biology
I Health & Physical Education
I Mathematics",,
05-12-2024,Thursday,"II Biology
II Health & Physical Education",,,"I Business Mathematics
I Fine Arts
I Geography
I Islamic Studies (Elec.)",,
06-12-2024,Friday,II Mathematics,,,"I History of Pakistan
I History of Muslim India
02:00 P.M. to 05:00 P.M.",,
09-12-2024,Monday,II Pakistan Studies. (Comp),,,"I Economics
I Principles of Commerce",,
10-12-2024,Tuesday,"II Commercial Geography
II Economics",,,"I Islamic Studies (Comp)
/ Ethics",,
11-12-2024,Wednesday,"II History of Muslim India
II History of Pakistan
II Statistics",,,"I Chemistry
I Psychology",,
12-12-2024,Thursday,"II Physics
II Civics
II Persian",,,I Statistics,,
13-12-2024,Friday,"II Pakistan Culture
II Urdu (Comp.)",,,"I Education
I Philosophy
I Principles of Accounting
02:00 P.M. to 05:00 P.M.",,
16-12-2024,Monday,"II Education
II Philosophy
II Principles of Accounting",,,"I Pakistan Culture
I Urdu (Comp.)",,
17-12-2024,Tuesday,"II Chemistry
II Psychology",,,"I Civics
I French
I Physics
I Urdu Advance",,
18-12-2024,Wednesday,II Translation of the Holy Quran,,,I Translation of the Holy Quran,,
